수율,형태,생산중량,제품길이,제품두께,품종,완제형태,Billet 규격,Hole수
0.786274,환봉,3092,4000,45,3772,ROD,1600,1
0.824621,환봉,2352,4000,28,3771,ROD,1600,1
0.798194,환봉,2316,6000,22,3772,ROD,1200,1
0.68813,환봉,585,3000,11.5,3604,ROD,1200,1
0.684001,환봉,3092,3000,30,3772,ROD,1600,1
0.835074,환봉,2321,3000,26,3771,ROD,1600,1
0.596417,환봉,574,2500,9.5,3601,ROD,1200,1
0.895235,환봉,2343,3000,19,3772,ROD,1600,1
0.726199,환봉,807,3560,8,3772,ROD,1200,3
0.898604,환봉,1117,0,7,2800,Coil,1200,3
0.81751,환봉,2331,3500,28,3772,ROD,1600,1
0.555419,환봉,1624,4000,8,3772,ROD,800,1
0.672579,환봉,1094,0,6,3604,Coil,1200,2
0.788383,환봉,1152,3400,48,3772,ROD,1200,1
0.626287,육각,2299.1,2500,17,3604,ROD,1200,1
0.880131,환봉,2346,6000,22,3772,ROD,1600,1
0.90153,환봉,1712,0,17,2730,Coil,900,1
0.833079,환봉,2364,3000,18.5,3604,ROD,1600,1
0.748022,환봉,1778,0,12.7,1100,Coil,900,1
0.890197,환봉,2346,3900,24,3772,ROD,1600,1
0.633,육각,1000,2500,7,3604,ROD,1200,3
0.56477,육각,1746,3000,25,3604,ROD,1200,1
0.878261,환봉,888.613,0,9,2700,Coil,900,3
0.862565,환봉,2346,4000,16,3773,ROD,1600,1
0.787401,환봉,1564,3000,26,3771,ROD,1600,1
0.88499,환봉,897,0,11.5,1222,Coil,900,3
0.836889,환봉,819,0,7,2700,Coil,900,3
0.845645,환봉,2324,3000,17,3604,ROD,1600,1
0.681348,환봉,2880,4000,55,3772,ROD,1200,1
0.866092,환봉,2315.325,5500,25,3772,ROD,1600,1
0.757492,환봉,3092,4000,43,3772,ROD,1600,1
0.844797,환봉,3092,3600,40,3772,ROD,1600,1
0.765244,환봉,2370,2500,16.5,3604,ROD,1600,1
0.870342,환봉,2300,3770,20,3772,ROD,1600,1
0.649938,환봉,3046,3000,31.75,3772,ROD,1600,1
0.742617,환봉,2844,4000,50,3772,ROD,1200,1
0.809079,환봉,2340,3000,22,3607,ROD,1200,1
0.738916,환봉,1117,4000,50,3772,ROD,1200,1
0.888718,환봉,2346,6000,22,3772,ROD,1600,1
0.796103,환봉,3092,4000,32,3772,ROD,1600,1
0.78547,환봉,3046,4000,40,3772,ROD,1600,1
0.861738,환봉,1576,3000,18.5,3604,ROD,1600,1
0.686992,육각,2336,2500,15,3604,ROD,1200,1
0.843452,환봉,3092,3600,40,3773,ROD,1600,1
0.779403,환봉,2300,3400,24,3772,ROD,1600,1
0.775041,환봉,376,3000,9,3772,ROD,800,1
0.784035,환봉,3087,3400,30,3772,ROD,1600,1
0.839976,환봉,819,0,7,2700,Coil,900,3
0.78547,환봉,2922,4000,40,3772,ROD,1600,1
0.815864,환봉,1533,3825,24,3772,ROD,1600,1
0.839976,환봉,627,0,7,2700,Coil,900,3
0.789775,환봉,2370,2500,26,3604,ROD,1600,1
0.839976,환봉,819,0,7,2700,Coil,900,3
0.876314,환봉,1740,2500,14,3604,ROD,1200,1
0.610052,육각,1724,2500,17,3604,ROD,1200,1
0.883848,환봉,2346,3000,22.22,3772,ROD,1600,1
0.758347,환봉,782,4500,45.3,3772,ROD,1600,1
0.885057,환봉,2346,3000,20,3772,ROD,1600,1
0.880049,환봉,2346,3000,24,3772,ROD,1600,1
0.767813,환봉,1550,4000,34,3771,ROD,1600,1
0.857319,환봉,2346,5500,22,3772,ROD,1600,1
0.807882,환봉,773,3500,32,3772,ROD,1600,1
0.758374,환봉,1564,4000,22,3773,ROD,1600,1
0.807471,환봉,2346,4000,25,3772,ROD,1600,1
0.885213,환봉,2370,4000,14.7,3604,ROD,1600,1
0.814454,환봉,2321.325,3000,28,3771,ROD,1600,1
0.894183,환봉,782,6000,18,3772,ROD,1600,1
0.79631,환봉,2343,3825,24,3772,ROD,1600,1
0.75778,환봉,3087,4000,32,3772,ROD,1600,1
0.844089,환봉,2346,3500,25,3772,ROD,1600,1
0.811133,환봉,758,4000,40,3772,ROD,800,1
0.899179,환봉,2346,4000,17.6,3773,ROD,1600,1
0.642305,환봉,2427,6000,22,3772,ROD,1600,1
0.866878,환봉,819,0,9,2700,Coil,900,3
0.807442,환봉,3087.1,4000,40,3772,ROD,1600,1
0.901786,환봉,2346,6000,18,3772,ROD,1600,1
0.78374,환봉,1724,2500,9.5,3604,ROD,1200,1
0.870826,환봉,840,0,9,2700,Coil,900,3
0.766768,환봉,1580,2500,15,3604,ROD,1600,1
0.846377,환봉,818.922,0,7,2700,Coil,900,3
0.882612,환봉,2343,6000,18,3772,ROD,1600,1
0.873257,환봉,2346,4000,16,3773,ROD,1600,1
0.791623,환봉,1533,4000,40,3772,ROD,1600,1
0.891885,환봉,1144,0,6.5,3606,Coil,1200,3
0.770462,환봉,772,4500,38.9,3772,ROD,1600,1
0.877839,환봉,771.775,3770,20,3772,ROD,1600,1
0.829708,환봉,1139,0,6,3604,Coil,1200,3
0.868718,환봉,819,0,9,2700,Coil,900,3
0.794745,환봉,3456,4500,48,3772,ROD,1200,1
0.87378,환봉,2370,3000,17,3604,ROD,1600,1
0.765625,환봉,2315,3500,65,3772,ROD,1600,1
0.86615,환봉,3066,4000,40,3772,ROD,1600,1
0.746921,환봉,1523,3000,15.2,3772,ROD,1600,1
0.903866,환봉,1138,0,7,2800,Coil,1200,3
0.890197,환봉,2346,3900,24,3772,ROD,1600,1
0.793978,환봉,3092,4000,40,3772,ROD,1600,1
0.87043,환봉,2346,4000,15,3772,ROD,1600,1
0.817964,환봉,2340,2500,16,3604,ROD,1200,1
0.704007,환봉,2367,2500,39,3604,ROD,1600,1
0.784065,환봉,1102,0,6,3604,Coil,1200,3
0.857534,환봉,1138,0,7,2800,Coil,1200,3
0.779172,환봉,2340,3000,24,3772,ROD,1600,1
0.843601,환봉,819,0,7,2700,Coil,900,3
0.841441,환봉,2315.325,3000,13.5,3772,ROD,1600,1
0.855974,환봉,2343,6000,18,3772,ROD,1600,1
0.826926,환봉,3032,4000,40,3772,ROD,800,1
0.718462,환봉,3092,4000,32,3772,ROD,1600,1
0.761546,환봉,1564,4000,28,3772,ROD,1600,1
0.790051,환봉,2349,3000,26,3771,ROD,1600,1
0.796957,환봉,840,0,7,2700,Coil,900,3
0.857682,환봉,2346,4000,17,3772,ROD,1600,1
0.795688,환봉,2346,4000,28,3771,ROD,1600,1
0.798935,환봉,3100,4000,34,3771,ROD,1600,1
0.898604,환봉,1105,0,7,2800,Coil,1200,3
0.655728,환봉,1168,3000,9.9,3604,ROD,1200,3
0.671808,환봉,1104,2500,8,3604,ROD,1200,3
0.725319,환봉,5000,3600,40,3773,ROD,1600,1
0.548509,환봉,1746,2000,48,3604,ROD,1200,1
0.81115,환봉,1128.922,3000,6,3604,ROD,1200,3
0.764292,환봉,2000,4000,28,3771,ROD,1600,1
0.907882,환봉,1154,0,7,2800,Coil,1200,3
0.767036,환봉,1546,3400,32,3772,ROD,1600,1
0.80057,환봉,2319,4000,40,3772,ROD,1600,1
0.832512,환봉,3092,3000,32,3772,ROD,1600,1
0.805403,환봉,2343,3825,24,3772,ROD,1600,1
0.715801,환봉,2370,2500,13.2,3604,ROD,1600,1
0.782013,환봉,2448,2500,16.5,3604,ROD,1600,1
0.737822,환봉,1720,3000,36,3772,ROD,1200,1
0.788351,환봉,2346,4000,26.98,3772,ROD,1600,1
0.662598,환봉,1764.655,0,12,1020,Coil,900,1
0.853994,환봉,2346,5500,22,3772,ROD,1600,1
0.762534,환봉,773.775,4000,34,3771,ROD,1600,1
0.73587,환봉,3411,4000,38,3772,ROD,800,1
0.85899,환봉,2346,3000,25.4,3772,ROD,1600,1
0.681992,환봉,3456,2990,34,3773,ROD,1200,1
0.858537,환봉,2339.325,2500,18.5,3604,ROD,1600,1
0.901131,환봉,2418,6000,18,3772,ROD,1600,1
0.701423,환봉,3475,4000,45,3772,ROD,1200,1
0.904028,환봉,1117,0,7,2800,Coil,1200,3
0.839143,환봉,2321,4000,28,3771,ROD,1600,1
0.851601,환봉,782,3000,26,3772,ROD,1600,1
0.767447,환봉,3092,3400,30,3772,ROD,1600,1
0.673157,환봉,2196,3000,11,3604,ROD,1200,1
0.861484,환봉,2315,3000,13.5,3772,ROD,1600,1
0.629991,환봉,206,2500,9,3604,ROD,1200,1
0.835617,환봉,2346,4000,28,3773,ROD,1600,1
0.756749,환봉,3128,4000,45,3772,ROD,1600,1
0.876273,환봉,2346,6000,25,3772,ROD,1600,1
0.798896,환봉,3092,3000,45,3772,ROD,1600,1
0.857417,환봉,2346,4000,24,3772,ROD,1600,1
0.571635,육각,2278.472,2500,11,3604,ROD,1200,1
0.863534,환봉,2299.854,3500,22,3772,ROD,1600,1
0.904309,환봉,1168,0,8,3604,Coil,1200,3
0.74915,육각,2278,2500,14,3604,ROD,1200,1
0.778041,환봉,3092,4000,45,3772,ROD,1600,1
0.848727,환봉,2346,4000,15,3772,ROD,1600,1
0.856707,환봉,1580,3000,13.5,3604,ROD,1600,1
0.841523,환봉,2352,3200,20,3771,ROD,1600,1
0.819376,환봉,3128,3000,45,3772,ROD,1600,1
0.847874,환봉,2346,5500,17.5,3772,ROD,1600,1
0.731707,환봉,2370,2500,25,3604,ROD,1600,1
0.743957,환봉,3074,4000,34,3771,ROD,1600,1
0.738821,환봉,1129,3000,6,3604,ROD,1200,3
0.633552,환봉,1158,3560,7.9,3772,ROD,1200,2
